mmsi,iwrap_type_from_dataset,length_from_data_set,width
211288480,Support ship,27,10
211228710,Other ship,65,12
235101881,Fast ferry,18,6
236039000,General cargo ship,82,12
230630000,General cargo ship,88,12
219018007,Fast ferry,24,10
305502000,General cargo ship,88,13
211222790,Support ship,15,4
219017325,Other ship,22,8
211128920,Pleasure boat,15,5
219007678,Other ship,29,7
211720660,Fast ferry,28,9
219007679,Other ship,29,7
219011766,Fishing ship,10,4
211223120,Other ship,33,8
265463000,Passenger ship,200,28
211543450,Passenger ship,26,6
219019287,Fishing ship,17,6
218367000,Fishing ship,24,8
211156470,Fast ferry,22,8
235108597,Fast ferry,17,4
211224660,Support ship,15,5
246125000,General cargo ship,89,14
211417590,Fishing ship,42,10
219021291,Pleasure boat,12,4
211188000,Passenger ship,141,24
211614010,Support ship,20,6
219081000,Oil products tanker,141,22
219005302,Fishing ship,12,4
265866000,Passenger ship,220,30
211243240,Fishing ship,26,7
538005553,Oil products tanker,144,22
219017203,Fast ferry,21,7
219022256,Support ship,20,6
244828000,Other ship,123,14
245176000,General cargo ship,90,12
211333700,Oil products tanker,68,12
211279780,Pleasure boat,11,4
219000692,Pleasure boat,14,4
211727510,Passenger ship,170,27
265874000,Passenger ship,177,26
211130000,Other ship,69,14
577167000,Other ship,51,9
211216490,Support ship,29,8
219009413,Fishing ship,11,4
246355000,General cargo ship,80,9
235090741,Fast ferry,17,6
232007444,Fast ferry,27,12
211504730,Pleasure boat,19,5
211223780,Support ship,28,9
235103465,Fast ferry,19,7
209223000,Oil products tanker,93,13
211110430,Pleasure boat,33,6
219000895,Fishing ship,17,4
245405000,Oil products tanker,110,14
215193000,Oil products tanker,183,32
211533590,Support ship,17,6
212519000,General cargo ship,85,13
211265530,General cargo ship,96,19
566915000,Oil products tanker,183,32
266262000,Passenger ship,183,28
219083000,Oil products tanker,141,22
235103033,Fast ferry,18,6
211787800,Support ship,15,5
211292150,Other ship,20,6
277504000,Passenger ship,199,26
211611070,Support ship,28,8
211477000,Fishing ship,17,5
211400000,Fishing ship,15,6
211638130,Other ship,49,10
219018272,Oil products tanker,115,17
538007390,Oil products tanker,251,44
211794540,Pleasure boat,11,7
311045200,General cargo ship,87,13
211543850,Passenger ship,33,8
211760340,Pleasure boat,11,4
211395470,Pleasure boat,11,4
244679000,Pleasure boat,30,6
255805557,General cargo ship,149,22
211215210,Passenger ship,49,8
